university_name,course_name,abbrv,direct_entry_requirements,utme_requirements,subjects
USMANU DANFODIYO UNIVERSITY  eLEARNING SOKOTO SOKOTO STATE,MECHANICAL ENGINEERING,UDU-ELUON,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ACCOUNTING,UAGRIC-IMO,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,AGRICULTURE,UAGRIC-IMO,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,BIOCHEMISTRY,UAGRIC-IMO,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,BIOLOGY,UAGRIC-IMO,"(i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,BIOTECHNOLOGY,UAGRIC-IMO,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,BUSINESS ADMINISTRATION,UAGRIC-IMO,"Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics.","Five (5) SSC credit passes including English Language, Mathematics, Economics, plus any two (2) of Accounting, Business Methods, Commerce, Government, Geography, and Statistics.","Mathematics, Economics and one (1) other subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,CHEMICAL & PETROLEUM ENGINEERING,UAGRIC-IMO,"'A' Level passes in Physics, Chemistry and Mathematics.","Five (5) SSC credit passes to include Physics, Mathematics, Chemistry and English Language.","Physics, Chemistry and Mathematics"
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,CHEMISTRY,UAGRIC-IMO,"(i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,CIVIL ENGINEERING,UAGRIC-IMO,"(i)       'A' Level passes in Physics and Mathematics.

(ii)     ND/HND upper credit at appropriate levels.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and one Science subject","Physics, Chemistry and Mathematics"
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,COMPUTER SCIENCE,UAGRIC-IMO,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,COOPERATIVE & RURAL DEVELOPMENT,UAGRIC-IMO,"(i)      Two (2) ‘A’ Level passes.

(ii)     HND in relevant programmes.",Five (5) SSC credit passes including English Language and Economics,"Mathematics, Economics plus one (1) other subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,CRIMINOLOGY & SECURITY STUDIES,UAGRIC-IMO,"Two (2) 'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5) SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies /Islamic Studies."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ELECTRICAL /ELECTRONICS ENGINEERING,UAGRIC-IMO,"Two (2) 'A' Level passes in Mathematics, Physics or Chemistry","Five (5) SSC credit passes to include Mathematics, Physics, Chemistry, English Language and any other Science subject.","Mathematics, Physics and Chemistry"
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ENGLISH LANGUAGE,UAGRIC-IMO,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ENTREPRENEURSHIP,UAGRIC-IMO,"Two (2) 'A' Level passes to include Economics and one (1) of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one (1)Science subject and one (1)other Social Science or Commercial subject.","Economics, Mathematics and one (1) other Social Science or Commercial subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,UAGRIC-IMO,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,ESTATE MANAGEMENT & VALUATION,UAGRIC-IMO,"Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics.","Five (5) SSCE credit passes including Chemistry, Mathematics and English Language.","Mathematics, Economics and one other subject"
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,FISHERIES & AQUACULTURE,UAGRIC-IMO,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,FOOD SCIENCE & TECHNOLOGY,UAGRIC-IMO,"(i)       'A' Level passes in two (2) of Physics Chemistry, and Mathematics.

(ii)     ND/HND upper credit in relevant programmes.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Chemistry and Physics or Biology."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,HORTICULTURE & LANDSCAPE ARCHITECTURE,UAGRIC-IMO,"(i)       Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

ND/HND upper credits in relevant field.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and any of Fine Art, Geography or Wood Work, Biology, Economics, Technical Drawing, Further. Mathematics., Introduction to Building Construction, Bricklaying/Block laying, Concreting, Wall, Floors and Ceiling Finishing, Joinery, Carpentary, Decorative Painting, Lining, Sign and Design, Wall Hanging, Colour Mixing/Matching and Glazing, Ceramics, Graphics Design, Graphic Printing, Basic Electricity.","Physics, Mathematics, and any of Chemistry, Geography, Art, Biology and Economics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,INFORMATION TECHNOLOGY,UAGRIC-IMO,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,MARKETING,UAGRIC-IMO,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects.","Mathematics, Economics plus one (1) other subject."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,MATHEMATICS,UAGRIC-IMO,"(i) Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics.","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,MECHANICAL ENGINEERING,UAGRIC-IMO,"(i)         Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.

(ii)        ND upper credit, NCE technical and HND in Mech. Engineering.","Five (5) SSC credit passes to include Physics, Chemistry, Mathematics, English Language and any other Science subject.","Mathematics, Physics and Chemistry."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,MICROBIOLOGY,UAGRIC-IMO,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,PEACE STUDIES & CONFLICT RESOLUTION,UAGRIC-IMO,Two (2) 'A' Level passes in Government and one other Social Science subject,Five (5) SSC credit passes  including English Language Government or History and at least a pass in Mathematics,Three (3) Arts or Social Science subjects
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,PHILOSOPHY,UAGRIC-IMO,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Government and any other two (2) subjects
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,PHYSICS,UAGRIC-IMO,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,PSYCHOLOGY,UAGRIC-IMO,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Any three (3) subjects from Arts or Social Science.
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,TAXATION,UAGRIC-IMO,"Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics.","Five (5) SSC credit passes to include: English Language, Mathematics and any other subjects. For NBC, the other two (2) relevant subjects could be from any of the following; Accounting, Principles of Accounts, Commerce, Office Practice and Economics.","Mathematics, Economics, plus any one (1) of Government and Geography."
UNIVERSITY OF AGRICULTURE AND ENVIRONMENTAL SCIENCES UMUAGWO IMO STATE,WATER & IRRIGATION ENGINEERING,UAGRIC-IMO,"'A' Level passes must include Physics or Chemistry, and Mathematics","Five (5) SSC credit passes in Physic  Chemistry, Mathematics, English Language and Biology","Chemistry, Mathematics and Physics"
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ANATOMY,OSUMS,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ANIMAL & ENVIRONMENTAL BIOLOGY,OSUMS,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,AUDIOLOGY,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,BIOCHEMISTRY,OSUMS,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,BIOLOGY,OSUMS,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,BIOTECHNOLOGY,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,BOTANY,OSUMS,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,CHEMISTRY,OSUMS,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,COMMUNITY HEALTH,OSUMS,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language.","Physics, Chemistry and Biology."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,COMPLEMENTARY AND ALTERNATIVE MEDICINE,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,COMPUTER SCIENCE,OSUMS,"Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)           NCE merit in Mathematics and one (1) other Science or Social Science subject","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,DENTAL TECHNOLOGY,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,DENTAL THERAPY,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,DENTISTRY,OSUMS,"Three (3) 'A' Level passes to include Chemistry, Biology/Zoology and Physics.","Five (5) SSC credit passes in English Language, Physics, Chemistry, Biology and Mathematics.","English Language, Chemistry, Biology and Physics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,DOCTOR OF PHYSIOTHERAPY,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ENVIRONMENTAL HEALTH SCIENCE,OSUMS,"(i)              Two (2) 'A' Level passes in Biology/ Zoology, Chemistry and Physics plus  three (3) other 'O' Level credit passes in Mathematics, Physics and English Language.

(ii)            NRN or its approved equivalent plus five (5) 'O' Level credit passes  in English Language and four (4) Science subjects chosen from Mathematics, Physics, Chemistry, Biology, Human Anatomy, Physiology and Hygiene, Health Science, Further Mathematics and General Science.","Five (5) SSC credit passes in Mathematics, Chemistry, Biology, Physics and English Language","Physics, Chemistry and Biology."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY,OSUMS,"Candidates who fulfil above requirements and who have obtained G.C.E Advanced Level or equivalent passes in Biology and Chemistry, as well as holders of OND and HND in relevant subject may be admitted into 200 Level.","The entry requirements shall be at least credit level passes in five subjects including English Language, Mathematics, to form the core course with credit in three other relevant science courses Biology, Chemistry, Agricultural Science and Physics at the Senior Secondary School Certificate or its equivalent in not more than two sittings and candidates must also have at-least a pass in Physics.","English Language, Mathematics,  Biology, Chemistry, Agricultural Science or Physics"
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY,OSUMS,"Candidates who fulfil above requirements and who have obtained G.C.E Advanced Level or equivalent passes in Biology and Chemistry, as well as holders of OND and HND in relevant subject may be admitted into 200 Level.","The entry requirements shall be at least credit level passes in five subjects including English Language, Mathematics, to form the core course with credit in three other relevant science courses Biology, Chemistry, Agricultural Science and Physics at the Senior Secondary School Certificate or its equivalent in not more than two sittings and candidates must also have at-least a pass in Physics.","English Language, Mathematics,  Biology, Chemistry, Agricultural Science or Physics"
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,ENVIRONMENTAL MANAGEMENT AND TOXICOLOGY:,OSUMS,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics","Biology, Chemistry and either Physics or Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,FISHERIES MANAGEMENT,OSUMS,"(i) Two (2) 'A' Level passes in any of Chemistry, Biology, Botany, Zoology, Agricultural Science Geography, Mathematics (pure & applied), Physics, Geology and Economics.

 

(ii)NCE Agriculture","Five (5) SSC credit passes in Biology/Agricultural Science, Chemistry, Mathematics and English Language plus any other Science subject.","Chemistry, Biology/Agricultural Science and any other Science subject."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,FOOD SCIENCE,OSUMS,Two (2) 'A' Level passes in Chemistry and Biology/Physics/Agricultural Science/Botany/Zoology.,"Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology/Agricultural Science and Physics","Chemistry, Mathematics/ Physics and Agricultural Science"
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,GEOPHYSICS,OSUMS,'A' Level passes in Chemistry and Physics or Mathematics.,"Five (5) SSC credit passes including English Language, Mathematics, Physics and Chemistry/Biology.","Any three (3) of Physics, Chemistry, Biology and Mathematics."
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,HEALTH CARE ADMINISTRATION AND HOSPITAL MANAGEMENT,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,HEALTH INFORMATION MANAGEMENT,OSUMS,[Not Available],[Not Available],[Not Available]
ONDO STATE UNIVERSITY OF MEDICAL SCIENCES LAJE ROAD ONDO ONDO STATE,INDUSTRIAL CHEMISTRY,OSUMS,"(i)    Two (2) 'A' Level passes in Chemistry and Mathematics

(ii)   ND in Science Technology or ND in relevant programmes with the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Physics and Biology/Agricultural Science.","Chemistry, Mathematics and any of Physics/Biology/ Agricultural Science."
